ID,I,O,W,NID
0,9,7,120.4,1
0,0,4,227.0,6
0,0,5,399.9,15
0,1,2,41.4,25
0,8,5,135.6,32
0,5,9,54.8,35
0,4,3,128.2,40
0,6,5,197.5,50
0,0,6,210.1,52
0,0,3,301.7,68
0,0,9,265.2,78
0,7,5,132.0,83
0,5,4,41.3,87
0,1,4,24.6,94
0,0,2,309.4,102
0,4,6,42.1,121
0,0,8,161.7,133
0,1,7,93.8,143
0,1,9,77.5,165
0,8,9,140.2,188
0,8,7,120.8,194
0,5,3,77.5,212
0,2,5,169.4,223
0,4,2,60.2,229
0,8,1,116.8,273
0,2,6,97.5,302
0,0,1,302.0,328
0,7,1,65.4,341
0,6,7,142.8,344
0,4,1,97.0,373
0,6,3,89.9,409
0,6,4,28.7,417
0,0,7,317.5,425
0,7,9,76.9,431
0,2,1,88.3,435
0,7,7,0.1,440
0,7,3,59.1,441
0,4,5,219.6,458
0,5,6,33.5,464
0,3,1,118.9,468
0,2,9,88.5,490
0,3,4,74.6,496
0,7,2,49.5,542
0,6,1,121.7,578
0,7,6,42.5,603
0,5,1,62.4,610
0,1,1,0.1,617
0,1,3,66.8,618
0,3,6,38.9,656
0,1,5,92.9,662
0,3,3,0.0,690
0,3,9,109.6,691
0,1,6,71.0,762
0,2,2,0.1,815
0,2,3,89.6,816
0,2,4,77.2,848
0,9,5,89.6,924
0,7,4,83.4,928
0,3,2,47.4,959
0,9,3,88.1,971
0,9,9,0.1,1007
0,6,2,89.9,1059
0,8,4,128.5,1093
0,6,8,74.5,1120
0,1,8,38.5,1142
0,4,9,63.1,1163
0,3,8,77.6,1185
0,5,5,0.1,1251
0,6,6,0.1,1262
0,6,9,84.0,1263
0,4,7,151.0,1274
0,2,8,58.4,1313
0,8,2,58.0,1369
0,2,7,108.8,1385
0,7,8,59.4,1407
0,3,7,109.2,1497
0,9,6,45.0,1502
0,9,1,107.2,1541
0,9,8,38.0,1615
0,9,4,37.7,1689
0,8,3,132.6,1844
0,5,2,18.8,1942
0,5,7,26.1,2032
0,8,6,80.5,2149
0,4,4,0.1,2238
0,4,8,58.6,2239
0,8,8,0.1,2356
0,5,8,37.1,2369
0,3,5,118.8,2911
0,9,2,82.3,5226
1,3,6,411.3,2
1,5,3,326.2,966
1,5,7,5.0,1008
1,5,8,305.8,1009
1,6,9,0.1,1010
1,6,7,5.0,1011
1,6,1,406.8,1012
1,5,1,375.2,1817
1,4,4,5.0,2284
1,4,5,458.7,2285
1,1,2,362.1,3054
1,2,3,482.0,4012
1,4,2,386.5,4022
1,2,1,494.2,5542
1,4,1,413.1,5678
1,6,3,383.1,5899
1,1,9,5.0,6028
1,1,3,380.0,6029
1,1,1,5.0,6136
1,1,5,346.8,6137
1,3,7,5.0,6609
1,3,9,5.0,6610
1,3,4,400.3,6611
1,1,6,349.1,9354
1,8,9,5.0,9897
1,8,6,382.6,9898
1,6,4,303.7,10201
1,6,6,0.1,13455
1,4,6,438.5,13990
1,4,7,5.0,14012
1,4,8,354.6,14013
1,2,4,386.8,14227
1,6,5,417.5,15549
1,4,9,5.0,18039
1,2,2,5.0,18674
1,2,6,451.2,18675
1,4,3,465.6,21778
1,5,4,391.2,24596
1,3,5,367.5,24847
1,2,9,5.0,26295
1,2,8,453.4,26296
1,8,4,462.1,28923
1,1,7,5.0,31569
1,3,1,422.8,32065
1,1,8,349.1,34016
1,8,5,389.4,35332
1,6,2,407.2,37165
1,8,2,367.5,41344
